seller_ID	num_faces	face_proximity
1oZ1KVz3OK	2	
1oZ1L8zgOK	1	0.08
1oZ1Lnq3OK	1	0.04
1oZ1MJG6OK	1	0.15
1oZ1NbWdOK	1	1
1oZ1QxdnOK	1	0.16
1oZ1VLeGOK	1	0.1
1oZ1WLn6OK	0	
1oZ1ZQq5OK	1	0.22
1oZ1Za4nOK	0	
1oZ1bNQWOK	0	
1oZ1bdzxOK	2	
1oZ1jebnOK	0	
1oZ1jjLdOK	0	
1oZ1jv3AOK	1	0.15
1oZ1k01GOK	0	
1oZ1kDJgOK	0	
1oZ1qaggOK	0	
1oZ1vn0nOK	0	
1oZ1wEKGOK	0	
1oZ1wWW3OK	1	0.27
1oZ1xKgxOK	0	
1oZ1yvzdOK	1	0.06
1oZ1zlxWOK	1	0.2
1oZ31E2GrK	0	
1oZ31J9grK	1	0.17
1oZ35NqnrK	0	
1oZ35wwdrK	0	
1oZ36w7nrK	1	0.01
1oZ3712GrK	1	0.17
1oZ38wxdrK	1	0.1
1oZ3AxPgrK	0	
1oZ3Bn95rK	1	0.74
1oZ3Bp6nrK	1	0.05
1oZ3JZ26rK	1	0.33
1oZ3KqblrK	0	
1oZ3PxdGrK	0	
1oZ3XA4drK	3	
1oZ3XPzWrK	1	0.29
1oZ3bB93rK	1	0.27
1oZ3bnG6rK	0	
1oZ3bw0GrK	0	
1oZ3mAllrK	2	
1oZ3mz1ArK	0	
1oZ3nqLWrK	0	
1oZ3yKNnrK	0	
1oZ3yeNnrK	0	
1oZ3ynbGrK	0	
1oZ3yyPlrK	1	0.04
1oZy0V6gOK	1	0.01
1oZy0adgOK	0	
1oZy1m2nOK	0	
1oZy2k7WOK	1	0.15
1oZy2zw3OK	2	
1oZy4aGnOK	0	
1oZy5P73OK	1	0.01
1oZy8kQlOK	0	
1oZy92wWOK	1	0.55
1oZyAkAnOK	0	
1oZyD5dGOK	0	
1oZyD68AOK	1	0.35
1oZyEdwAOK	1	0.16
1oZyKyg6OK	1	0.02
1oZyMqm5OK	1	0.35
1oZyNDKxOK	0	
1oZyNL5AOK	0	
1oZyQKmgOK	2	
1oZyVPWxOK	1	0.12
1oZyW9vgOK	0	
1oZyWnnlOK	1	0.04
1oZyYB9dOK	0	
1oZyZNvGOK	0	
1oZyb82dOK	0	
1oZydV13OK	0	
1oZyeDbAOK	1	0.33
1oZyeKw5OK	0	
1oZygG15OK	1	0.03
1oZygK1dOK	0	
1oZygv8WOK	0	
