Video_ID	showup	smile_duration	duration	smile_proportion
1418956	1	2010	18630	0.10789049919484701
1419424	1	120	2790	0.043010752688172046
1422012	1	150	20640	0.007267441860465116
1422920	0			
1424568	0			
1426598	0			
1430666	0			
1450854	1	180	4680	0.038461538461538464
1452622	0			
145404	1	0	19314	0.0
1455316	1	0	9150	0.0
1458300	1	0	2650	0.0
1458760	1	0	3330	0.0
1459548	1	5070	30180	0.1679920477137177
1461614	1	2730	13770	0.19825708061002179
1465626	1	29	4234	0.00684931506849315
1469268	1	7200	32160	0.22388059701492538
1471502	1	60	15450	0.003883495145631068
1472580	1	0	4770	0.0
1472624	1	0	37375	0.0
1472970	1	0	29490	0.0
1474372	1	780	11910	0.0654911838790932
1485660	0			
1488874	1	0	10150	0.0
1489936	0			
149178	0			
1492688	1	1560	3240	0.48148148148148145
1497438	1	2280	8370	0.2724014336917563
1501272	0			
1513132	1	0	3270	0.0
1513220	1	3240	6270	0.5167464114832536
1513436	1	0	52140	0.0
1521806	1	30	51540	0.0005820721769499418
1523014	1	0	2970	0.0
1524204	0			
1527712	0			
1529772	0			
1531082	1	0	1200	0.0
153210	0			
1533908	1	690	17520	0.039383561643835614
1539736	1	780	9330	0.08360128617363344
1546132	1	3750	23040	0.16276041666666666
1547758	1	30	23880	0.001256281407035176
1549364	0			
1552848	1	180	9510	0.01892744479495268
1554244	1	60	2040	0.029411764705882353
1556638	1	0	420	0.0
1557242	1	660	2910	0.2268041237113402
1559938	1	4110	20100	0.2044776119402985
1560952	0			
1562686	1	0	2760	0.0
1562936	0			
1563408	1	300	38580	0.007776049766718507
1564910	0			
1565920	1	4830	16170	0.2987012987012987
1568142	0			
1569868	1	5070	25740	0.19696969696969696
1571788	0			
1576378	0			
1581730	1	3990	19470	0.2049306625577812
1586264	0			
158830	1	261	6177	0.04225352112676056
1592366	0			
1595104	0			
160322	0			
1606448	1	30	720	0.041666666666666664
1607044	1	2730	2730	1.0
1607526	1	0	30690	0.0
1614930	0			
1623098	1	2670	7620	0.35039370078740156
1624332	1	12840	20190	0.6359583952451708
1624750	1	2010	66690	0.03013945119208277
1628882	1	3750	56010	0.06695232994108195
1629534	0			
1633068	1	1020	8010	0.12734082397003746
1635660	0			
1636324	0			
1637824	1	690	10410	0.06628242074927954
1640530	1	0	690	0.0
1640772	1	180	10380	0.017341040462427744
1643336	0			
1644756	1	13140	14250	0.9221052631578948
1645996	1	6660	22410	0.2971887550200803
1647060	1	30	840	0.03571428571428571
1649392	1	1680	3510	0.47863247863247865
1663032	0			
1665514	1	0	1020	0.0
1670850	0			
1679576	1	30	21690	0.0013831258644536654
1687202	1	60	9060	0.006622516556291391
1692098	1	0	6090	0.0
1697444	1	2700	12480	0.21634615384615385
1697736	1	2250	2460	0.9146341463414634
1700358	1	5460	14040	0.3888888888888889
1700904	1	5100	24420	0.20884520884520885
1701240	0			
1705404	1	4320	4320	1.0
1712100	0			
1712752	1	0	570	0.0
1719914	1	6900	24570	0.28083028083028083
1726984	1	15150	15150	1.0
1730136	1	30	3960	0.007575757575757576
1738924	1	60	5100	0.011764705882352941
1739174	1	0	3480	0.0
1742040	1	1050	11850	0.08860759493670886
1750986	0			
1751094	0			
1753904	0			
1778242	0			
1785552	1	0	5970	0.0
1793104	0			
1810786	1	2670	8730	0.30584192439862545
1817058	1	1950	9450	0.20634920634920634
1853968	1	0	840	0.0
1860222	1	0	11970	0.0
1868702	0			
188418	0			
1892254	0			
1892272	1	0	1050	0.0
1898470	1	0	26880	0.0
1899814	0			
1900620	0			
1900628	0			
1906732	0			
1910506	1	2430	10230	0.2375366568914956
1913522	1	0	840	0.0
1913642	1	30	20850	0.0014388489208633094
1922804	0			
1934778	1	0	6240	0.0
1939158	0			
1949606	0			
1949608	0			
1949620	0			
1958384	1	4830	4950	0.9757575757575757
1959622	0			
1981560	0			
1981720	0			
1981732	0			
1983860	0			
1989682	0			
1989694	0			
1989696	0			
1989698	0			
199136	0			
1994122	0			
1994178	1	1470	13770	0.10675381263616558
1999244	1	360	14880	0.024193548387096774
2003212	0			
2004106	0			
2004120	0			
2004126	0			
2008984	1	30	6540	0.0045871559633027525
2016168	0			
20185	0			
2028610	1	1650	35280	0.0467687074829932
2029380	0			
2029564	0			
2036564	1	0	6120	0.0
203732	0			
2039738	1	6330	27630	0.2290988056460369
2057949	1	300	420	0.7142857142857143
2060525	1	3420	3420	1.0
2060919	0			
206092	1	0	10650	0.0
2064303	1	3390	20730	0.16353111432706222
2066127	1	1170	22110	0.052917232021709636
2068153	1	540	4560	0.11842105263157894
2069371	0			
2076168	1	0	6660	0.0
2085058	1	0	106830	0.0
2085548	1	120	6660	0.018018018018018018
2087328	0			
2087822	0			
2087826	0			
2087828	0			
2087832	0			
2089058	1	600	900	0.6666666666666666
2098560	1	450	24240	0.018564356435643563
2099506	0			
2103046	1	2100	20220	0.10385756676557864
2104528	1	2250	19800	0.11363636363636363
2106840	0			
2107348	0			
2107420	1	5010	15420	0.32490272373540857
2137460	1	270	8430	0.03202846975088968
2141442	0			
2154750	1	0	540	0.0
215728	1	0	5580	0.0
2159486	0			
2161518	0			
2168512	1	690	19980	0.03453453453453453
2189838	0			
