Video_ID	showup	Intensity
1345224	1	0.33674841893333335
1345598	1	0.5347692748888886
1346028	0	
1349152	1	0.40650620063210235
1349394	1	0.6665556464846155
1349672	1	0.36150212790484143
1350350	0	
1355782	0	
1356742	1	0.3435587612419353
1360610	1	0.4771478678734622
1362676	1	0.40241997580583344
1363174	0	
1368274	1	0.2779864174410479
1377098	1	0.2269580331938887
1381898	0	
1384082	1	0.32462565482978734
1388532	0	
1388706	1	0.41489369805202314
1391362	1	0.40538303560950795
1395988	1	0.40496533179104477
1400386	1	0.3904811136312782
1400902	1	0.3352137976521738
1401278	0	
1405120	1	0.44912338438596483
1410116	1	0.4396633331150332
1413832	0	
1416724	1	0.45187801185884635
1418956	1	0.5915642368840576
1419424	1	0.49413250150537613
1422012	1	0.43219348558720855
1422920	0	
1424568	0	
1426598	0	
1430666	0	
1450854	1	0.5053462409935902
1452622	0	
145404	1	0.21449214696996977
1455316	1	0.47863241452459065
1458300	1	0.21416124122641525
1458760	1	0.5228116842342339
1459548	1	0.4225966902544729
1461614	1	0.5101303343485841
1465626	1	0.30048222274657543
1469268	1	0.22987454779570896
1471502	1	0.4187966479417472
1472580	1	0.39026722974842776
1472624	1	0.2737928637591978
1472970	1	0.590171558301119
1474372	1	0.3639541616851388
1485660	0	
1488874	1	0.3874746134000001
1489936	0	
149178	0	
1492688	1	0.41353852584259243
1497438	1	0.4620540249605734
1501272	0	
1513132	1	0.43065804296330273
1513220	1	0.3664063842057417
1513436	1	0.4856415599079407
1521806	1	0.29016306414028004
1523014	1	0.4891100472020201
1524204	0	
1527712	0	
1529772	0	
1531082	1	0.39574430225
153210	0	
1533908	1	0.572540263126712
1539736	1	0.432309862829582
1546132	1	0.42014301912109353
1547758	1	0.39705277787688453
1549364	0	
1552848	1	0.5124360439999996
1554244	1	0.3571701680882353
1556638	1	0.26702866214285714
1557242	1	0.2810990063917524
1559938	1	0.5169055189731347
1560952	0	
1562686	1	0.764271929130435
1562936	0	
1563408	1	0.4518141017651633
1564910	0	
1565920	1	0.4307869648812616
1568142	0	
1569868	1	0.4548643739393938
1571788	0	
1576378	0	
1581730	1	0.46822208218798145
1586264	0	
158830	1	0.2880281099436619
1592366	0	
1595104	0	
160322	0	
1606448	1	0.3193377504166666
1607044	1	0.30440243384615373
1607526	1	0.40258656936461384
1614930	0	
1623098	1	0.3218433709291339
1624332	1	0.4197092247919767
1624750	1	0.5679280025132701
1628882	1	0.4334358719983931
1629534	0	
1633068	1	0.2094325833520601
1635660	0	
1636324	0	
1637824	1	0.3768135767175791
1640530	1	0.22884662956521742
1640772	1	0.4415175790751448
1643336	0	
1644756	1	0.19334461482105253
1645996	1	0.36818670016465876
1647060	1	0.19166828564285715
1649392	1	0.37938678376068374
1663032	0	
1665514	1	0.5443500758823531
1670850	0	
1679576	1	0.6241232648838181
1687202	1	0.4939118291390724
1692098	1	0.4007305717733991
1697444	1	0.2521567243990386
1697736	1	0.28767689060975615
1700358	1	0.27101691831837615
1700904	1	0.37708296422235854
1701240	0	
1705404	1	0.39631179874999994
1712100	0	
1712752	1	0.215492036
1719914	1	0.2591316438028082
1726984	1	0.553679659247525
1730136	1	0.38216409378787886
1738924	1	0.11261516377647063
1739174	1	0.23833574327586177
1742040	1	0.3339792155721517
1750986	0	
1751094	0	
1753904	0	
1778242	0	
1785552	1	0.40239369386934715
1793104	0	
1810786	1	0.38517973058075633
1817058	1	0.3250394633650792
1853968	1	0.9821132978571427
1860222	1	0.5368127665664165
1868702	0	
188418	0	
1892254	0	
1892272	1	0.3425851137142857
1898470	1	0.38986012431919603
1899814	0	
1900620	0	
1900628	0	
1906732	0	
1910506	1	0.26237256865190633
1913522	1	0.17266845785714288
1913642	1	0.58607054801295
1922804	0	
1934778	1	0.4007300020192309
1939158	0	
1949606	0	
1949608	0	
1949620	0	
1958384	1	0.2624067518181817
1959622	0	
1981560	0	
1981720	0	
1981732	0	
1983860	0	
1989682	0	
1989694	0	
1989696	0	
1989698	0	
199136	0	
1994122	0	
1994178	1	0.34166370602832286
1999244	1	0.3080166038407259
2003212	0	
2004106	0	
2004120	0	
2004126	0	
2008984	1	0.4165312208669723
2016168	0	
20185	0	
2028610	1	0.6305169849982991
2029380	0	
2029564	0	
2036564	1	0.4011096540196081
203732	0	
2039738	1	0.43711046206514703
2057949	1	0.20080548071428578
2060525	1	0.1648391543859649
2060919	0	
206092	1	0.5120906440000002
2064303	1	0.5956670960347331
2066127	1	0.31253736968792395
