Video_ID	Name_of_Tch_1	gender
1208856	Ron Trucks	male
1326708	John Cousins	male
1753904	Wealthy Education	male
1899814	Wealthy Education	male
353044	Wealthy Education	male
1989694	Wealthy Education	male
502772	Wealthy Education	male
1900620	Wealthy Education	male
631166	Wealthy Education	male
1949606	Wealthy Education	male
843706	Wealthy Education	male
2087826	Wealthy Education	male
2004106	Wealthy Education	male
789186	Wealthy Education	male
1989682	Wealthy Education	male
1922804	Wealthy Education	male
570704	Wealthy Education	male
1949608	Wealthy Education	male
1346028	Wealthy Education	male
564966	Wealthy Education	male
1900628	Wealthy Education	male
1989698	Wealthy Education	male
2839358	Wealthy Education	male
1949620	Wealthy Education	male
2961922	Wealthy Education	male
2839366	Wealthy Education	male
2596878	Wealthy Education	male
2781364	Wealthy Education	male
3799798	Wealthy Education	male
2087822	Wealthy Education	male
1989696	Wealthy Education	male
1750986	Wealthy Education	male
2087828	Wealthy Education	male
2667284	Wealthy Education	male
2839364	Wealthy Education	male
2004126	Wealthy Education	male
2785018	Wealthy Education	male
2004120	Wealthy Education	male
2839368	Wealthy Education	male
2087832	Wealthy Education	male
627540	Jeff Tompkins	male
408440	Jeff Tompkins	male
551968	Jeff Tompkins	male
450694	Jeff Tompkins	male
834836	Jeff Tompkins	male
1488874	Jeff Tompkins	male
1102462	Jeff Tompkins	male
400858	Irfan Sharif	male
3020540	Irfan Sharif	male
1285950	Irfan Sharif	male
3133322	Irfan Sharif	male
3097088	Irfan Sharif	male
302562	Norm Nemrow	male
2656336	Norm Nemrow	male
49886	Don Hussey	male
1282650	Amol Gharte	male
2137460	Amol Gharte	male
1644756	Mayank Rasu	male
2970812	Mayank Rasu	male
754028	BrainyMoney and Son Han, CFA, CPA	male
770656	BrainyMoney and Son Han, CFA, CPA	male
777444	BrainyMoney and Son Han, CFA, CPA	male
1562686	Ashish Agarwal	male
1349394	Ashish Agarwal	male
1053272	Ashish Agarwal	male
493014	Ashish Agarwal	male
515326	Ashish Agarwal	male
1400902	Syed Rahman	male
1319136	Syed Rahman	male
1892272	Syed Rahman	male
3385322	GenMan Solutions	female
3432872	Start-Tech Academy	male
1554244	John Colley MBA, MA(Cantab)	male
386922	Kevin Cope	male
1252312	Jari Roomer	male
1110470	Jari Roomer	male
1188236	Jari Roomer	male
1647060	Jari Roomer	male
1221004	Jari Roomer	male
1188230	Jari Roomer	male
260066	Raja Natarajan, B.Com., PGDBA, FCA	male
375594	Raja Natarajan, B.Com., PGDBA, FCA	male
249934	Raja Natarajan, B.Com., PGDBA, FCA	male
494800	Raja Natarajan, B.Com., PGDBA, FCA	male
658766	Raja Natarajan, B.Com., PGDBA, FCA	male
455452	Raja Natarajan, B.Com., PGDBA, FCA	male
1333638	Raja Natarajan, B.Com., PGDBA, FCA	male
1607044	Raja Natarajan, B.Com., PGDBA, FCA	male
485889	Raja Natarajan, B.Com., PGDBA, FCA	male
866584	Raja Natarajan, B.Com., PGDBA, FCA	male
2619306	Raja Natarajan, B.Com., PGDBA, FCA	male
781954	Raja Natarajan, B.Com., PGDBA, FCA	male
2621178	Raja Natarajan, B.Com., PGDBA, FCA	male
1333646	Raja Natarajan, B.Com., PGDBA, FCA	male
1994122	Raja Natarajan, B.Com., PGDBA, FCA	male
1469268	Raja Natarajan, B.Com., PGDBA, FCA	male
388164	Raja Natarajan, B.Com., PGDBA, FCA	male
471428	Raja Natarajan, B.Com., PGDBA, FCA	male
421054	Raja Natarajan, B.Com., PGDBA, FCA	male
2284925	Raja Natarajan, B.Com., PGDBA, FCA	male
2154750	Raja Natarajan, B.Com., PGDBA, FCA	male
2494054	Raja Natarajan, B.Com., PGDBA, FCA	male
484132	Raja Natarajan, B.Com., PGDBA, FCA	male
1697736	Raja Natarajan, B.Com., PGDBA, FCA	male
2141442	Raja Natarajan, B.Com., PGDBA, FCA	male
1053462	Raja Natarajan, B.Com., PGDBA, FCA	male
498236	Pete Matthew	male
317030	Alex du Plooy	male
323950	Alex du Plooy	male
364810	Alex du Plooy	male
738624	Alex du Plooy	male
323916	Alex du Plooy	male
613190	Alex du Plooy	male
3528104	Haris Hayat	male
1317578	Jason Appleton	male
1521806	Jason Appleton	male
1633068	George Levy	male
402836	KayOne Academy	male
2805839	Commerce Curve	male
1913642	Cameron Connell	male
3613634	Cameron Connell	male
1113822	ClearTax Learning	female
968248	COMPLYFIN DWC LLC	male
529424	Financial Courses	unknown
743568	Financial Courses	unknown
627706	Financial Courses	unknown
569436	Financial Courses	unknown
2465786	Chirag Mehta	male
1513132	Leon Chaudhari	male
1533908	Leon Chaudhari	male
1523014	Leon Chaudhari	male
1472580	DealMaker Financial Training	male
1730136	DealMaker Financial Training	male
97338	Jared Passey	male
40039	Jared Passey	male
2990476	Rian Chapman	male
109988	Michiel van den Broek	male
32908	Chris Benjamin, MBA & CFO	male
130298	Chris Benjamin, MBA & CFO	male
1556638	Chris Benjamin, MBA & CFO	male
1712752	Chris Benjamin, MBA & CFO	male
1640530	Chris Benjamin, MBA & CFO	male
42146	Chris Benjamin, MBA & CFO	male
1606448	Chris Benjamin, MBA & CFO	male
571394	Hector Garcia	male
2512030	Robert (Bob) Steele	male
2563584	Robert (Bob) Steele	male
1739174	Robert (Bob) Steele	male
2390840	Robert (Bob) Steele	male
1571788	Robert (Bob) Steele	male
1458300	Robert (Bob) Steele	male
1564910	Robert (Bob) Steele	male
1614930	Robert (Bob) Steele	male
1635660	Robert (Bob) Steele	male
3402012	Robert (Bob) Steele	male
1701240	Robert (Bob) Steele	male
3049376	Robert (Bob) Steele	male
2378378	Robert (Bob) Steele	male
2419864	Robert (Bob) Steele	male
1868702	Robert (Bob) Steele	male
2362220	Robert (Bob) Steele	male
3939422	Robert (Bob) Steele	male
1592366	Robert (Bob) Steele	male
2714022	Robert (Bob) Steele	male
2292573	Robert (Bob) Steele	male
2436568	Robert (Bob) Steele	male
145404	Richard Okumoto	male
2658618	Urs Ravi I Vedanta Educational Academy	male
907444	Dhruv Bais	male
1006314	Asen Gyczew	male
2436348	Asen Gyczew	male
1322900	Asen Gyczew	male
2484866	Asen Gyczew	male
1636324	Asen Gyczew	male
1200206	Asen Gyczew	male
2851192	Asen Gyczew	male
3628948	Asen Gyczew	male
2953166	Asen Gyczew	male
543242	Thomas Franklin, Springboardyourtrading	male
702258	Thomas Franklin, Springboardyourtrading	male
700080	Samantha T. Cooper	female
1091206	Petko Zhivkov Aleksandrov	male
1422012	Petko Zhivkov Aleksandrov	male
1345224	Petko Zhivkov Aleksandrov	male
1624332	Petko Zhivkov Aleksandrov	male
1267860	Petko Zhivkov Aleksandrov	male
1334808	Petko Zhivkov Aleksandrov	male
1125506	Petko Zhivkov Aleksandrov	male
1450854	Petko Zhivkov Aleksandrov	male
1327966	Petko Zhivkov Aleksandrov	male
2450950	Petko Zhivkov Aleksandrov	male
1552848	Petko Zhivkov Aleksandrov	male
1471502	Petko Zhivkov Aleksandrov	male
4142896	Petko Zhivkov Aleksandrov	male
1898470	Petko Zhivkov Aleksandrov	male
3870926	Petko Zhivkov Aleksandrov	male
2168512	Petko Zhivkov Aleksandrov	male
1700358	Petko Zhivkov Aleksandrov	male
1665514	Petko Zhivkov Aleksandrov	male
1994178	Petko Zhivkov Aleksandrov	male
2431788	Petko Zhivkov Aleksandrov	male
1350350	Holczer Balazs	male
1422920	Holczer Balazs	male
2762	Tom Watson	male
66383	Tom Watson	male
2276255	Raffaelson Academy	female
918688	Stephen Burnich	male
951050	Stephen Burnich	male
1011058	Stephen Burnich	male
975046	Stephen Burnich	male
2475130	Stephen Burnich	male
403468	David Burrell, BComm	male
2842926	DIGIFLAX E-LEARNING	male
3369594	Paul D. Mendes	male
3572827	Paul D. Mendes	male
703770	Enrico Lambino	male
2596422	Enrico Lambino	male
3395102	Alexander Hagmann	male
2516506	Alexander Hagmann	male
2276027	Alexander Hagmann	male
2841064	Alexander Hagmann	male
1913522	Marko Cvjeticanin	male
317572	Majo Jacinto	female
354324	Majo Jacinto	female
354336	Majo Jacinto	female
2365720	Travis Rose (Stock Market Day Trading & Investing Professional)	male
2504702	Travis Rose (Stock Market Day Trading & Investing Professional)	male
2431422	Travis Rose (Stock Market Day Trading & Investing Professional)	male
2493896	Travis Rose (Stock Market Day Trading & Investing Professional)	male
2697262	Travis Rose (Stock Market Day Trading & Investing Professional)	male
2932442	Travis Rose (Stock Market Day Trading & Investing Professional)	male
1078520	Maciej Rychlicki	male
3304948	ICMI LEARNING	male
2564412	Alex Rodolitz	male
891490	Uday Gehani	male
3118336	K.R. Gupta	female
3987782	K.R. Gupta	female
3195180	K.R. Gupta	female
1046306	Jafar Iqbal	male
1320968	Rowan Malherbe	male
2159486	Rowan Malherbe	male
1318638	Rowan Malherbe	male
1329178	Rowan Malherbe	male
3124182	A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office)	male
3603368	A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office)	male
3727188	A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office)	male
3342284	A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office)	male
3991760	A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office)	male
2106840	Warrior Faraaz	male
2076168	Yossof Sharifi	male
2089058	Yossof Sharifi	male
2057949	Yossof Sharifi	male
447362	Frank Bunn	male
3417826	Roope Kiuttu	male
3980646	Roope Kiuttu	male
3540520	Roope Kiuttu	male
4149374	Roope Kiuttu	male
2085548	Market Stalkers	female
2193886	Market Stalkers	female
2098560	Market Stalkers	female
806130	Tanuja Yadav	female
742106	Tanuja Yadav	female
2107420	Tanuja Yadav	female
575676	Tanuja Yadav	female
714188	Tanuja Yadav	female
1252816	Nasiru Musa	male
1162298	Nasiru Musa	male
1302322	Jerremy Newsome	male
24877	Erik Slayter	male
2280894	Mike M.	male
3047214	Yassin Marco	male
1513436	Yassin Marco	male
591714	Md Mohan Uddin	male
591724	Md Mohan Uddin	male
2595588	Md Mohan Uddin	male
2595494	Md Mohan Uddin	male
748880	David Solyomi	male
476622	Gopal Prasad Malakar	male
596598	Paula Guilfoyle CPA & MVP	female
576946	Paula Guilfoyle CPA & MVP	female
760990	Paula Guilfoyle CPA & MVP	female
615206	Paula Guilfoyle CPA & MVP	female
1401278	Humberto Malaspina	male
820114	Jeff Nordin, MBA, CFPR, CAPR, CLUR	male
1793104	Kumar Gaurav Khullar	male
1958384	Kumar Gaurav Khullar	male
2212620	Kumar Gaurav Khullar	male
1568142	Kumar Gaurav Khullar	male
831940	Adnan Hasbi	male
2719668	Adnan Hasbi	male
819434	Adnan Hasbi	male
2028610	Tom Vilord	male
188418	Jose Santiago	male
430408	Craig Randall	male
1687202	Nayeem Khan	male
3001538	Bassel Zeidan	male
3697704	Bassel Zeidan	male
3089588	Zac Hartley	male
3995812	Zac Hartley	male
1210588	ThinkTank Careers	male
828420	Nrupen Masram	male
311870	Joe Marwood	male
808506	Joe Marwood	male
1546132	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2039738	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1497438	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1095116	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1362676	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1388706	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1581730	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1349672	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1700904	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1565920	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2265454	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1282106	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2342680	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1410116	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2192940	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2103046	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1459548	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1569868	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1645996	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1309874	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1333462	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1559938	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1391362	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
1276364	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2468770	Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide	male
2642650	ED4S | Maria Maisuradze, CFA	female
3959190	Henrique Centieiro	male
3849992	Henrique Centieiro	male
3682432	Calvin Lee, CPA, CA, MBA	male
3650670	Calvin Lee, CPA, CA, MBA	male
3871752	Calvin Lee, CPA, CA, MBA	male
4123160	Calvin Lee, CPA, CA, MBA	male
3744018	Calvin Lee, CPA, CA, MBA	male
3720482	Calvin Lee, CPA, CA, MBA	male
740404	Calvin Lee, CPA, CA, MBA	male
1524204	Shakir Elahi	male
1501272	Shakir Elahi	male
1576378	Shakir Elahi	male
1778242	Shakir Elahi	male
1670850	Shakir Elahi	male
1560952	Shakir Elahi	male
1342930	g-Log Consult	male
1388532	g-Log Consult	male
1265646	g-Log Consult	male
2878530	Simon Sez IT	male
2922652	Simon Sez IT	male
2926990	Michael Olafusi	male
2066127	Benjamin Kahriman	male
2647562	TheTradingBible Beginners Resources	male
3137154	Harman Deep, Elliott Waves Analyst	male
3895288	Harman Deep, Elliott Waves Analyst	male
3460194	Harman Deep, Elliott Waves Analyst	male
3545622	Yatesh Kumar	male
602032	Margin of Safety Investing	male
482534	Margin of Safety Investing	male
2840688	Rohit Musale, CFA	male
2840960	Rohit Musale, CFA	male
3385750	Rohit Musale, CFA	male
3476420	Rohit Musale, CFA	male
2379796	Dustin G	male
2161518	Institute of Investment Banking	male
2107348	Institute of Investment Banking	male
1981560	Institute of Investment Banking	male
2029564	Institute of Investment Banking	male
1981732	Institute of Investment Banking	male
1983860	Institute of Investment Banking	male
2016168	Institute of Investment Banking	male
2029380	Institute of Investment Banking	male
2003212	Institute of Investment Banking	male
3720538	Akshay K	male
297742	Wall Street  Prep	male
298558	Wall Street  Prep	male
297762	Wall Street  Prep	male
298522	Wall Street  Prep	male
1465626	Kiley Grant	female
2762030	Greg Ahuy	male
3290856	Greg Ahuy	male
1233778	Ana Lucas	female
3038260	Ana Lucas	female
3309052	OEdTech ‧ 100,000+ Enrollments Worldwide	male
3402742	OEdTech ‧ 100,000+ Enrollments Worldwide	male
3253418	OEdTech ‧ 100,000+ Enrollments Worldwide	male
3551994	OEdTech ‧ 100,000+ Enrollments Worldwide	male
306360	David Johnson	male
1018380	Taher Assaf	male
945750	Pier Hill Accounting	male
2435368	Brett Philips, CPA	male
502240	John Mihaljevic	male
3580551	Michael Ng	male
3800356	Michael Ng	male
3766346	Michael Ng	male
709500	Thomas White	male
891484	Thomas White	male
881378	Thomas White	male
895936	Thomas White	male
1028030	Thomas White	male
4008828	Pretesh Mistry, CPA	male
592338	Hedge Fund Programmers AlgoDevelopment	male
121372	Travis Wilkerson	male
3831178	Rune Thomsen	male
692176	Shilpa Khire	female
3736794	Alex Dee	male
489146	Jobs University LLC	male
1368274	Adelka Skotak	female
58977	Alex Glassey	male
3325794	David Melilli	male
676764	Peter Titus	male
702278	Peter Titus	male
3110848	Mr Rajat	male
46927	Binny Mathews	male
4230404	Jose Portilla	male
2254632	Mark Cunningham	male
2313402	Mark Cunningham	male
3399782	Mark Cunningham	male
2267290	Mark Cunningham	male
3962606	Mark Cunningham	male
2360884	Mark Cunningham	male
2919514	Mark Cunningham	male
1021760	Nurudeen Amedu	female
955754	Nurudeen Amedu	female
2540964	Let'stute .... Make it Easy	female
2248828	Let'stute .... Make it Easy	female
1426598	Let'stute .... Make it Easy	female
2308176	Let'stute .... Make it Easy	female
2334782	Let'stute .... Make it Easy	female
2221174	William simpson	male
199136	William simpson	male
2259500	William simpson	male
1419424	Life Progression Project	male
1539736	Life Progression Project	male
2189838	EduFinWizards Edu	unknown
625568	Justine Pollard	female
3092046	Hardeep Malik	male
1810786	Glen Ho	male
3006088	Rajinder Kumar Arora CWM | MBA | NCFM Certified Trainer | Gann Trainer	male
3456190	Rajinder Kumar Arora CWM | MBA | NCFM Certified Trainer | Gann Trainer	male
948974	Insanely Forex	male
1738924	Karen Foo	female
757450	Joe Withrow	male
904986	Joe Withrow	male
631584	Joe Withrow	male
2739086	Syed Muhammad Ali Shah	male
3158874	Syed Muhammad Ali Shah	male
3103622	Piyush Arora, CFA, MBA Finance	male
878748	Riskpro Learning	male
725872	Abdullah Hussaini	male
3219379	Abhishek Agrawal	male
2274337	Cem Goksel Ozargun	male
1999244	ForexBoat Team	male
3043984	F. Buscha	unknown
3197824	Technology Accountant	male
1892254	ProfEd Academy	male
362530	TJ Walker	male
993160	Ty Crandall	male
1338478	James Part Time Entrepreneur	male
2993466	Amit Ghosh	male
379196	Troy Johnson	male
637452	Jonathan Patrick	male
1424568	Pedro Branco	male
1712100	Pedro Branco	male
1939158	Pedro Branco	male
1529772	Pedro Branco	male
2379790	Pedro Branco	male
3109146	Daksh Murkute	male
3829422	Daksh Murkute	male
3035392	Daksh Murkute	male
578534	Alex Ramos	male
3700690	Clinton Deig	male
584410	Ruben Merre	male
980408	Antonio Estache	male
548764	Ruth McDougall	female
1413832	Roi Business	male
1452622	Roi Business	male
593460	Provine Thomas	male
2104528	Richard Deutsch	male
1817058	Ranjit Kate	male
20185	Stephen Beak	male
3232703	Trading 707	male
411778	Ram Mohan	male
355622	Baraq Adnan	male
943734	Mark Smolen	male
2763304	Mark Smolen	male
930126	Mark Smolen	male
3527368	Mark Smolen	male
1624750	Ray Harkins, The Manufacturing Academy	male
436488	G. Scott Martin	male
371832	Lisa Newton	female
302478	Lisa Newton	female
304426	Lisa Newton	female
548044	Lisa Newton	female
1024862	Lisa Newton	female
689868	Aedan Kelly	male
999228	Guillermo Nodarse	male
153210	Calvin Liu	male
332848	Calvin Liu	male
1489936	Calvin Liu	male
2662628	David C	male
1030976	Andrew P.C.	male
3633596	Devang Maheshwari	male
822808	Greg Vanderford	male
688244	Greg Vanderford	male
1418956	One Month	female
3274496	Bobby B	male
3326866	Bobby B	male
3635938	Bobby B	male
358866	Michael Coleman	male
2729766	Kyle Chaning-Pearce	male
1301132	Ali Ilci	male
2410044	Philip J.	male
3900086	Richard Todd	male
3739392	Richard Todd	male
3152590	Richard Todd	male
2734336	Matthew Bernath	male
322118	Finance Pro Academy	male
3150392	SATISH KUMAR SAHANI	male
2424386	James Nguyen	male
1100054	Stephen Prince	male
1187084	Stephen Prince	male
1131280	Stephen Prince	male
3567021	Blu Leo Trading Academy	male
1218552	LR Thomas	female
1959622	CastAway Trader	male
407984	Andrew de Bruyn	male
593962	Diego Fernandez	male
1046724	Diego Fernandez	male
815482	Diego Fernandez	male
885443	Diego Fernandez	male
792216	Diego Fernandez	male
1313406	Diego Fernandez	male
1284012	Diego Fernandez	male
665866	Diego Fernandez	male
902888	Diego Fernandez	male
2551089	Christopher Guzman	male
2815039	May Am	female
576636	Paul du Long	male
871358	iBanking Training	male
2069371	Juri Fab	male
158830	Samuel Leach	male
2208850	Suleman Muhammad	male
1073430	Maria S.	female
1381898	Traders Club	unknown
1643336	Traders Club	unknown
1663032	Traders Club	unknown
206092	Dr. John Daniel Mclellan	male
516846	Dr. John Daniel Mclellan	male
1182080	Value Investing Monster	female
386714	Value Investing Monster	female
3729562	Dilpreet Chahal	male
3851686	Dilpreet Chahal	male
429080	Manohar V Dansingani	male
1531082	Joe Correa	male
2099506	ForeVision Academy	male
3633046	Ultimate Masters Academy	male
2718426	Accountech Training & Solutions	male
2888984	Accountech Training & Solutions	male
3355370	Accountech Training & Solutions	male
2373572	Accountech Training & Solutions	male
3457524	Options in plain English	unknown
1853968	Neilko Ventures Private Limited	female
1233350	Osamede Arhunmwunde	male
3482444	Thomas Boleto	male
3393972	Thomas Boleto	male
3316274	Thomas Boleto	male
2369558	Tanner Stoker	male
2732092	Pamela Hellig FFA, FASSA, CERA	female
2522382	Brendan McCoy	male
2643660	Brendan McCoy	male
3384718	Karanam Sreedhar	male
3520590	Karanam Sreedhar	male
3493058	Karanam Sreedhar	male
3293370	Mike Grantis	male
3498214	Nitin Gupta	male
1301302	Joydip Ghosh	male
1363174	Jean-Gabriel Paquette	female
1430666	Jean-Gabriel Paquette	female
2708538	Anton Rybakov	male
57415	Austin Higgins	male
682986	Zanette Phillips	male
3781118	Shweta Nandlal	female
3847956	Shweta Nandlal	female
2405380	Syed Shabbir	male
233900	Mubarak Shah, CPA	male
252396	Mubarak Shah, CPA	male
3451188	M L Gupta	male
2610178	Kundai Dzawo | Trading, Investing & Technical Analysis Coach	male
2293141	Anurag Singal	male
1057242	Quantitative Investor	male
317452	Nathan Winklepleck	male
3625068	Rafi Saar	male
684784	Dr. Andrew Stotz, CFA	male
1679576	Raj Gupta	male
2671088	Reshveen Rajendran	male
798740	Menachem Reinshmidt	male
1860222	Nicholas Jacobi, FSA, MAAA, CERA	male
1629534	Long Road Instructors	unknown
797762	Loony Corn	male
1284912	Niran Marshall Perera	male
1384082	Niran Marshall Perera	male
1586264	Niran Marshall Perera	male
1637824	Finance Hero	male
1455316	Finance Hero	male
427332	JD Downs	male
2290263	Anurag Chandak	male
2060919	SkillTech Academy India	male
3560337	Ravi Kumar K	male
445916	Lokesh Paliwal	male
2862110	Chris Croft	male
3242234	AllQuant .	male
3251462	AllQuant .	male
3369512	AllQuant .	male
3368636	AllQuant .	male
2206770	One Hour Workathons	female
2280884	Dan Rawitch	male
2495100	Nakhoul Mohamed	male
4121782	Anwesha Sengupta, CITF, CAIIB	unknown
3734830	Anwesha Sengupta, CITF, CAIIB	unknown
3757194	Anwesha Sengupta, CITF, CAIIB	unknown
1981720	MKCL India	male
1472970	Laura Adams, MBA	female
3387028	Michael Jordan	male
2901328	Michael Jordan	male
2522946	Michael Jordan	male
3097894	Zeeshan Saeed	male
1220862	Chandra Sekhar	male
2693496	Jack Kouzi Fund Manager + Global Speaker	male
2197582	Giuseppe Schiorlin	male
2966930	Giuseppe Schiorlin	male
73860	EduPristine Inc	female
3975332	Nicolas Guerrero	male
3407372	Eden Koh	female
1107954	Michael Katz	male
2652072	"Dr Constantine ""Dino"" Kiritsis"	male
3229723	Osama Hassan	male
3019426	Nikunj Shah	male
984830	Terence (The Tireless Worker)	male
690894	Ankur Kapur, CFA, CFP	male
738910	Scott Brown	male
519776	Scott Brown	male
1485660	Gabriel Avramescu	male
3057100	FM x FM	male
543212	Ajay Singh	male
612038	Tech Brain	male
2769356	Bamidele Ajayi	male
2332830	Jong Sontze	male
2200632	Manoj Kumar	male
1416724	Bryan Guerra	male
2208714	Bryan Guerra	male
2976586	Bryan Guerra	male
240256	Justin Bennett	male
469526	R-Tutorials Training	male
965306	Danilo Farina	male
2487946	Ryan Spendelow	male
597716	Omar Brown	male
403628	Pat Selby	female
3631468	Chris Sivewright	male
3798550	EWTIC Mentor	male
3576823	Vasco Patricio	male
1172716	Debi Peverill	female
3893726	Anton Fonseka	male
3457446	Char Deming	male
2969728	Compliance Security and Risk Management	male
1136912	Nathaniel Garrett	male
706670	Egill Bjorgvinsson	male
4081946	Aymen M	female
833770	Jason Williams	male
1100504	I-Min Chua	male
1100510	I-Min Chua	male
3304466	Jaro Algo	male
4228602	AlgoLab Finance	male
1562936	Muhammad Hassan	male
1405120	Guillaume TEILLET	male
1557242	Minh Pham	male
1751094	James T	male
1513220	Nick Walter	male
767256	SomaSys Research	male
607876	SomaSys Research	male
3170970	Kenji Explains	male
3993002	Mark Nielsen	male
4102310	Katya Nga Do	female
1360610	Jason Gandy	male
1492688	Jason Gandy	male
1649392	Jason Gandy	male
2064303	Marion Thomson	female
3040878	Thomais Way	male
