Id,Title,Blurb,Category_A,Category_B,Category_C,Language,Length_of_Video,Marked_Price,Rating,Reviews_Num,Selling_Price,Students_Num,Students_of_Tch_1,Name_of_Tch_1,Courses_of_Tch_1,Reviews_of_Tch_1,Rating_of_Tch_1,Url
1046724,Quantitative Trading Analysis with R,Learn quantitative trading analysis from basic to expert level through a practical course with R statistical software.,Finance & Accounting,Investing & Trading,R (programming language),English,7.5 hours,24.99,3.997005,160,15.99,1412,12353,Diego Fernandez,36,2397,3.783463649,https://www.udemy.com/course/quantitative-trading-analysis-with-r/
1853968,Fundamentals of US GAAP Accounting,US GAAP,Finance & Accounting,Accounting & Bookkeeping,Accounting,English,4 hours,19.99,3.2100077,159,14.99,1084,6575,Neilko Ventures Private Limited,4,231,3.688052149,https://www.udemy.com/course/fundamentals-of-us-gaap-accounting-part-1/
1233350,Bitcoin Profits for Beginners,"Ultimate Bitcoin, & Cryptocurrency shortcut; Learn to trade and profit from Bitcoin, and other cryptocurrencies.",Finance & Accounting,Cryptocurrency & Blockchain,Bitcoin,English,2 hours,84.99,4.2629557,159,14.99,539,3363,Osamede Arhunmwunde,2,301,4.3107312,https://www.udemy.com/course/bitcoin-profits-for-beginners/
1983860,Venture Capital Financial Modeling,"Learn about venture capital, its financial modeling and valuation with the help of a case study",Finance & Accounting,Financial Modeling & Analysis,Venture Capital,English,2.5 hours,89.99,3.7042763,159,15.99,4297,95105,Institute of Investment Banking,38,3185,3.580348603,https://www.udemy.com/course/venture-capital-financial-modeling/
3482444,Forex Scalping Strategy Course-Guide in Scalping the Forex,Forex Scalping Strategy Course - Forex Scalping Strategy Course – Step by Step guide in Scalping the Forex Market,Finance & Accounting,Investing & Trading,Forex,English,5 hours,84.99,4.4271083,159,14.99,6160,54081,Thomas Boleto,15,732,4.138413349,https://www.udemy.com/course/forex-scalping-strategy-course-guide-in-scalping-the-forex/
1700904,Stock Trading Ninja: DIY Trading Manuel with Strategy,"Profitable Stock Trading Strategies - Master Fundamental & Technical Analysis, Chart Pattern Trading & Fibonacci Trading",Finance & Accounting,Investing & Trading,Stock Trading,English,9.5 hours,84.99,4.5415206,158,14.99,29055,226121,Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide,51,5078,4.516906383,https://www.udemy.com/course/stocktrading1/
2595494,Financial Analysis in Excel: Asset Management Ratios,Learn Excel modelling to analyze financial statements for the assessment of a firm's asset management performance,Finance & Accounting,Financial Modeling & Analysis,Financial Analysis,English,1 hour,39.99,3.5710084,158,14.99,7690,30500,Md Mohan Uddin,8,1294,3.93863772,https://www.udemy.com/course/financial-analysis-in-excel-asset-management-ratios/
2369558,The Complete Stock Market Trading Program,"Master the Psychology of Trading, Advanced Charting Techniques, Technical Analysis, and Our Effective Trading Strategy",Finance & Accounting,Investing & Trading,Stock Trading,English,10 hours,19.99,4.572548,157,14.99,683,683,Tanner Stoker,1,157,4.572548,https://www.udemy.com/course/completetradingprogram/
2732092,What does an actuary actually do?,The course that provides a practical overview of the day to day work of an actuary in an insurance environment.,Finance & Accounting,Other Finance & Accounting,Actuarial Science,English,2.5 hours,24.99,4.538459,161,14.99,683,938,"Pamela Hellig FFA, FASSA, CERA",2,169,4.599624415,https://www.udemy.com/course/what-does-an-actuary-actually-do/
2522382,QuickBooks Online: Bookkeeping Like a Professional,"Learn How to use QuickBooks Online from a Pro Adviser, Brendan McCoy, who owns a Top Rated QuickBooks Company",Finance & Accounting,Accounting & Bookkeeping,Bookkeeping,English,2 hours,29.99,4.3845487,157,29.99,4857,6513,Brendan McCoy,2,230,4.3853528,https://www.udemy.com/course/quickbooks-online-track-your-money-like-a-professional/
