Video_ID	Name_of_Tch_1	gender
1323892	Seyedali Mirjalili	male
726896	Philip Atkinson	male
2860806	Felix Harder	male
2623634	Felix Harder	male
2692326	Felix Harder	male
344418	Markus Amanto	male
1119698	Kristen Palana	female
322500	Kristen Palana	female
446108	Matthew Barnett	male
749048	Matthew Barnett	male
365362	Matthew Barnett	male
2516190	Matthew Barnett	male
3087414	Claudia Simonetto	female
3373624	Claudia Simonetto	female
3735538	Claudia Simonetto	female
1039124	Charlie Gilkey	male
735990	Darius Namdaran	male
1400948	Donna Galatas	female
660834	Chris Spink	male
745514	Chris Spink	male
285610	Kevin deLaplante	male
1992144	Peter Torok	male
1739952	Adam Piandes	male
1340894	Steven Liguori	male
1707930	Steven Liguori	male
2315158	Steven Liguori	male
1349980	Jason Link	male
1644918	Jason Link	male
1022794	Bill Aronson	male
1483618	Nandini Rathi	female
1743568	Chase Ellfeldt	male
2275853	David Barton	male
1586500	David Barton	male
1942484	Tania Magdalene	female
1348858	Tania Magdalene	female
699030	Tania Magdalene	female
2402282	Word Dancer	female
2733982	Eve Williams MMus	female
1594030	Management Study Guide	female
1504608	Management Study Guide	female
1723120	TJ Walker	male
280984	TJ Walker	male
296377	TJ Walker	male
2521854	TJ Walker	male
2876442	TJ Walker	male
351142	TJ Walker	male
3264174	TJ Walker	male
3196780	TJ Walker	male
3100628	TJ Walker	male
1553136	TJ Walker	male
3245114	TJ Walker	male
363252	TJ Walker	male
294638	TJ Walker	male
3153902	TJ Walker	male
342720	TJ Walker	male
343316	TJ Walker	male
363280	TJ Walker	male
2580026	TJ Walker	male
338792	TJ Walker	male
2518362	TJ Walker	male
3115688	TJ Walker	male
3859044	Deborah Grayson Riegel	female
1081340	Liz Makin	female
1157648	Steve Payne	male
304132	Dave Fox	male
650424	Dave Fox	male
907586	Rob Parnell	male
544600	Rob Parnell	male
3017800	Rebecca Martin	female
672578	Michael Christopher	male
938962	Brian Bee	male
394952	Tobias Atkins	male
2076402	Julian Jenkins	male
3550700	Julian Jenkins	male
3620646	Julian Jenkins	male
3738114	Julian Jenkins	male
3657354	Julian Jenkins	male
3330096	Julian Jenkins	male
3576655	Julian Jenkins	male
2230338	The Wiring Wizard	male
62086	Dr. Oscar Rodriguez, DET	male
1121344	Dr. Oscar Rodriguez, DET	male
813120	Sal Jade	male
3530976	Sal Jade	male
1991330	Chris Sivewright	male
732016	Chris Sivewright	male
1800988	Melissa Crowhurst	female
2653962	Vivian Kulaga, PhD	female
734134	Ros Place	female
1089368	Ros Place	female
740954	Ros Place	female
1317320	Ros Place	female
2365704	Waqas Hassan	male
1713928	Yuri Malishenko	male
1149896	Alastair Banks	male
2401810	Steve Anthony	male
847586	Sounds True	female
455146	Desmond Byram	male
605802	Todd Henry	male
369160	Jerry Jay Hunter	male
1167954	Academy of Film Fashion and Design	male
3296418	Ossama Mehmood	male
2231650	Manos Filippou	male
2064173	Manos Filippou	male
3404360	Marisa Lonic	female
531602	Richard N. Bolles	male
1141484	Pablo Mariana	male
396680	Jeremy Watson	male
1424258	Tim Goodenough	male
1323106	Harish Gulati	male
374962	Andrew Butcher	male
2806595	LinCademy for Training	male
448830	Splativity Project	male
1062898	Kenneth Warren	male
1365318	Paul Klipp	male
505258	Tanaaz Chubb	female
1595276	Deepika Khanna	female
3343874	Jakob Manthei	male
2728428	Sayed M. Naim Khalid	male
117100	Dean Dwyer	male
73210	Burt Richard	male
1010296	Damien Walter	male
1653664	Damien Walter	male
319042	Robin Booth	male
654542	Robin Booth	male
549848	Andrea Kjellin	female
66143	Debbie LaChusa	female
135046	Patryk Wezowski & Kasia Wezowski	male
1352554	Waleed Mokdad	male
2035914	Waleed Mokdad	male
2986586	Ken Tey	male
1796738	Thomas Carroll, PhD	male
2245682	Marc Wynn	male
2415220	Marc Wynn	male
36090	7 Keys Solutions	male
1454586	Mert Burian	male
1949428	Roland Costea	male
2684574	Paul Sloane	male
193824	Karlyn Borysenko	female
2315760	Robin & Jesper	male
3369752	Robin & Jesper	male
2065159	Peggy Guglielmino	female
378032	Adriane Hernandez	female
1302526	Peta Stephenson	female
2188092	Dr. Marshall	female
1237338	Justin Quinton	male
1350060	Justin Quinton	male
1434926	Justin Quinton	male
1582266	Dave Canterbury	male
699254	Duda Baldwin	female
698068	Duda Baldwin	female
618888	Dan O'Connor	male
1856086	Benjamin Pages	male
1550112	Benjamin Pages	male
453908	Steve Hudson	male
481130	Chris Kyle	male
1642638	Emma Warren-Brown BSc (Hons), Cert. Ed.	female
2729528	Hassan Osman	male
241526	Akash Karia	male
470398	Joe Fedison	male
717046	Joe Fedison	male
2094656	Brad S.C. Smith	male
1192364	KW Professional Organizers	female
1511640	KW Professional Organizers	female
868884	Timothy Kenny	male
1214140	Timothy Kenny	male
1253348	Timothy Kenny	male
922280	Timothy Kenny	male
419684	Timothy Kenny	male
1496292	Prof Alina Kislenko	female
958978	School of Leadership	male
1330228	School of Leadership	male
3073786	School of Leadership	male
1720356	Amine Benyakoub	male
2151152	Ghramae Johnson	male
2775510	Amer Taha- courseyo	male
3302978	Amer Taha- courseyo	male
3303144	Amer Taha- courseyo	male
558014	Abhishek V R - Ofpad	male
2876230	Imran Afzal (300,000+ students)	male
1810816	George Patriki	male
1356614	George Patriki	male
3374896	Matt Walter	male
595010	Neil O'Nova	male
430396	Tom Scarrella	male
530710	Tom Scarrella	male
539756	Tom Scarrella	male
871794	Marshall Stern	male
3161726	Kevin Ellerton	male
2622518	Antwon Martin	male
288066	Street Smart University	male
128544	Tammy Hendrix, LCSW	female
374904	Dragos Stefanescu	male
2586438	Max Durdant-Hollamby	male
822208	Gregg Swanson	male
3478326	Orna Ben-Shoshan	female
2945484	Orna Ben-Shoshan	female
109852	Tim Clark	male
1199916	Timur Kazantsev	male
1407314	Tatiana Ambrose	female
1343832	Tatiana Ambrose	female
1776974	Tatiana Ambrose	female
749432	Tatiana Ambrose	female
1407308	Tatiana Ambrose	female
884716	Ken Wilber	male
1702424	Susie Macklin	female
2000252	Susie Macklin	female
3382642	Karen Wickre	female
377218	Don Hussey	male
2441138	TJ Guttormsen	male
3060534	TJ Guttormsen	male
2711092	TJ Guttormsen	male
3632484	TJ Guttormsen	male
237148	Infinite Skills	male
