Video_ID	showup	smile_duration	duration	smile_proportion
1272256	1	420	16110	0.0260707635009311
1275936	1	0	667	0.0
1278936	1	120	27240	0.004405286343612335
1279140	1	775	4375	0.17714285714285713
1279268	1	3125	11750	0.26595744680851063
1280280	1	120	6720	0.017857142857142856
1284952	1	2580	8910	0.2895622895622896
128544	1	261	928	0.28125
1287854	1	0	18937	0.0
1290466	1	10527	25201	0.4177215189873418
1292182	1	0	22830	0.0
1295932	1	0	19020	0.0
1296322	1	3300	14940	0.22088353413654618
1299614	1	3161	11426	0.2766497461928934
1302526	1	0	4590	0.0
1303550	1	60	5520	0.010869565217391304
1305520	1	810	3360	0.24107142857142858
1308482	1	3030	28230	0.1073326248671626
1309582	1	0	16290	0.0
1309904	1	1125	1125	1.0
1311926	1	145	30073	0.0048216007714561235
1312698	1	2490	29010	0.08583247156153051
1315046	1	9450	9450	1.0
1317082	1	0	19140	0.0
1317320	1	2430	28200	0.08617021276595745
1321586	0			
1323106	0			
1323892	1	30	4080	0.007352941176470588
1324270	1	16260	33270	0.48872858431018934
1326766	0			
1327236	1	3275	7425	0.44107744107744107
1328588	1	1620	94740	0.017099430018999367
1329878	1	30	4890	0.006134969325153374
1330228	1	9077	20619	0.44022503516174405
1332992	1	0	2370	0.0
1337550	1	1410	5850	0.24102564102564103
1340894	1	0	7080	0.0
1341612	1	0	450	0.0
1341646	1	30	15900	0.0018867924528301887
1343832	1	90	8580	0.01048951048951049
1344746	1	0	4500	0.0
1347644	1	4620	25290	0.1826809015421115
1348858	1	0	16050	0.0
1349678	0			
1349980	1	348	26796	0.012987012987012988
1350060	1	1470	8970	0.16387959866220736
1350272	1	0	1160	0.0
135046	1	90	7590	0.011857707509881422
1351646	1	30	14400	0.0020833333333333333
1352554	0			
1356614	1	1050	31110	0.033751205400192864
1362338	1	1920	11040	0.17391304347826086
1365318	1	0	16125	0.0
1379586	1	232	11774	0.019704433497536946
1379800	1	0	13200	0.0
1382426	0			
1382886	1	675	11275	0.0598669623059867
1389870	1	30	2880	0.010416666666666666
1394404	1	7975	14475	0.5509499136442142
1396806	1	5825	12025	0.48440748440748443
1400614	1	30	1140	0.02631578947368421
1400948	0			
1402672	1	150	23760	0.006313131313131313
1407308	1	3540	11790	0.30025445292620867
1407314	1	1380	2430	0.5679012345679012
140786	1	174	21837	0.00796812749003984
1412368	1	1740	18930	0.0919175911251981
1415562	1	29	7163	0.004048582995951417
1418155	1	0	9625	0.0
1420386	1	0	12450	0.0
1421014	1	1170	9990	0.11711711711711711
1424258	1	1500	10110	0.14836795252225518
1433442	1	754	7888	0.09558823529411764
1434492	1	0	4050	0.0
1434926	1	2730	7200	0.37916666666666665
1436164	1	145	8207	0.0176678445229682
1437038	1	1530	53700	0.028491620111731845
1437348	1	720	12810	0.05620608899297424
1453209	1	75	29950	0.0025041736227045075
1453247	1	25	32125	0.0007782101167315176
1454566	1	1008	4416	0.22826086956521738
1454586	1	725	19450	0.037275064267352186
1458490	1	6648	16848	0.3945868945868946
1467252	1	30	11760	0.002551020408163265
1467960	1	125	8475	0.014749262536873156
1479488	1	0	29899	0.0
1483618	1	90	32280	0.0027881040892193307
1484379	1	350	7675	0.04560260586319218
1488690	1	300	23640	0.012690355329949238
148928	1	1537	8932	0.17207792207792208
1490852	1	2730	5100	0.5352941176470588
1496292	1	14460	40260	0.3591654247391952
1499090	0			
1503396	1	0	330	0.0
1504608	0			
1508306	0			
1512764	1	1500	18240	0.08223684210526316
1514058	1	0	15030	0.0
1514204	1	0	15690	0.0
1514262	1	210	6510	0.03225806451612903
1518060	1	0	12558	0.0
1518236	1	150	4020	0.03731343283582089
1521136	1	1050	5280	0.19886363636363635
1523692	1	23171	98861	0.23437958345555882
1527124	1	0	11820	0.0
1529326	1	0	7975	0.0
153034	1	4379	35641	0.12286411716842961
1532040	1	0	24240	0.0
1532412	1	0	12900	0.0
