Video_ID	showup	asymmetry
1382886	1	0.34945460114548377
1389870	1	0.43833946596991796
1394404	1	0.6913774498601715
1396806	1	0.6620889610673171
1400614	1	0.7324984496904184
1400948	0	
1402672	1	0.3181770747686921
1407308	1	0.33761724570139784
1407314	1	0.6644763352119797
140786	1	0.5864939830261194
1412368	1	0.7457506747035156
1415562	1	0.15943667899329392
1418155	1	0.4026050311763393
1420386	1	0.3678344254385203
1421014	1	0.9500066112659141
1424258	1	0.7199490068026563
1433442	1	0.9677404901894439
1434492	1	0.4441858170575625
1434926	1	0.81224929570649
1436164	1	0.35878035584077456
1437038	1	0.516338653392492
1437348	1	0.6399926922334864
1453209	1	0.6639225527819866
1453247	1	0.4283267323282561
1454566	1	0.4527339709568721
1454586	1	0.3770787038290979
1458490	1	0.4122580110648024
1467252	1	0.5767506363655203
1467960	1	0.47812007647189353
1479488	1	0.47058290736263664
1483618	1	0.6299762287391534
1484379	1	0.5795853632506409
1488690	1	0.851420895013961
148928	1	0.3882806135727192
1490852	1	0.38005424026005447
1496292	1	0.8797769872395851
1499090	0	
1503396	1	0.030632276603570163
1504608	0	
1508306	0	
1512764	1	0.6204830401872584
1514058	1	0.5450053634086182
1514204	1	0.7054807452821386
1514262	1	0.8765988634047522
1518060	1	0.8459037966396912
1518236	1	0.48351051747097473
1521136	1	0.7699674392790077
1523692	1	0.5605118802195328
1527124	1	0.5102016801168898
1529326	1	0.1630555544169072
153034	1	0.5181152820830726
1532040	1	0.9149134676790249
1532412	1	1.1650265811883487
1535970	1	0.4315800871270399
1536066	1	0.5012593507970678
1537740	1	0.47171322368527596
1540380	1	0.4177197548000972
1541778	0	
1547484	0	
1550112	0	
1553136	1	0.639455714870935
1553738	1	0.6981950593878613
1555326	1	0.8407820592836246
1560348	1	0.6714984287166205
1561606	1	0.79128525282882
1578722	0	
1582266	1	0.2686249891510094
1586110	1	0.32916013359543267
1586500	1	1.1172826294509957
1594030	1	1.1668880608074688
1595276	1	0.1514157898676064
1596336	1	0.7200785978028231
1609596	0	
1612050	1	0.4762012333785609
1612532	1	0.6151843930178585
1618404	1	0.8819305329948174
1624746	1	0.5875901974823572
1632674	1	0.7445253211954342
1639288	1	1.080843155119868
1642638	1	0.06507822529068352
1642938	1	0.5211363422561702
1643770	1	0.37504946240809944
1644918	1	0.6292830411004201
1646848	1	0.5709720585773754
1650264	1	0.5519721856774824
1653664	1	0.8742987743940192
1670456	1	0.6225132970540767
1679476	1	0.6114830547705544
1699582	1	0.37941018125184595
1702424	1	0.379386395106309
1707930	1	0.05624681535572363
1713366	1	0.4943034693224709
1713928	0	
1717070	0	
1718950	0	
1719944	0	
1720356	1	0.7821840801261809
1721592	1	0.6167068865842051
1723120	1	0.6038769091987661
172336	1	0.4145115771963144
