Id	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url
1454566	The Complete Memory Improvement Course	Your Ultimate Guide to a Stronger Memory	Personal Development	Memory & Study Skills	Memory	English	7 hours	84.99	4.527276	122	9.99	2046	71055	Chris M Nemo	16	954	4.3545277	https://www.udemy.com/course/the-complete-memory-improvement-course/
47929	How learning The 12 Universal Laws will change your life	Learn how universal laws are governing your life and how you can utilise this knowledge to improve your life.	Personal Development	Personal Transformation	Manifestation and Law of Attraction	English	4 hours	199.99	4.8132167	122	199.99	1634	1634	Camillo Loken	1	122	4.812778	https://www.udemy.com/course/universal-laws/
664538	Performance Under Pressure - Effective Human Interactions	Performing With Others under Pressure and Manage Stressful Interactions	Personal Development	Leadership	Stress Management	English	1.5 hours	84.99	3.5672755	121	9.99	11008	275292	Sorin Dumitrascu	145	27169	4.114189867187498	https://www.udemy.com/course/performance-under-pressure-effective-human-interactions/
2318796	Miracles of Vaastu Shastra	Here , you will learn about Vaastu Principles ,which gives you confidence to select right property for good fortune	Personal Development	Personal Transformation	Interior Design	English	1.5 hours	84.99	4.056262	121	9.99	396	396	Ar. Mala Dwivedi	1	121	4.0584164	https://www.udemy.com/course/miracles-of-vaastu-shastra/
1094662	Writing Interactive Stories for Video Games & Other Formats	The Art & Craft of Interactive Fiction	Personal Development	Creativity	Storytelling	English	6 hours	49.99	4.3613396	121	9.99	756	51544	Prof. Michael McIntyre	4	2682	4.5248606875	https://www.udemy.com/course/writing-interactive-stories-for-video-games-other-formats/
3115688	The Complete Telecommuting Course - Remote Work - Work Life	Telecommuting - Remote Working - Tools for Working from Home - Better Organization for Work Live Balance & Productivity	Personal Development	Personal Productivity	Working Remotely	English	7.5 hours	84.99	4.453195	121	9.99	38411	1303235	TJ Walker	222	108030	4.438044855567149	https://www.udemy.com/course/the-complete-telecommuting-course-remote-work-work-life/
1433442	International Humanitarian & Development Careers	Explore Your Options.	Personal Development	Career Development	Social Impact	English	2 hours	34.99	4.506696	121	11.99	313	313	Cory J. Steinhauer	1	121	4.506629	https://www.udemy.com/course/international-humanitarian-development-careers/
48424	Your Job Search Is A Spiritual Journey	A holistic approach to finding your next job, doing your work and making your life more meaningful.	Personal Development	Career Development	Job Search	English	1.5 hours	19.99	3.9960752	121	9.99	7519	98264	Angela R Loeb	8	927	3.740747054285714	https://www.udemy.com/course/your-job-search/
969766	Ten Story High: Learning the Art of Storytelling Made Easy	Your stories matter! Learn how to craft your own personal stories in this easy-to-follow storytelling masterclass.	Personal Development	Creativity	Storytelling	English	2.5 hours	19.99	3.944413	121	9.99	1408	105178	Josh Withrow	5	5815	4.45318398292683	https://www.udemy.com/course/ten-story-high/
2941328	Investigating the Paranormal	A course in how to be a paranormal investigator	Personal Development	Other Personal Development	Spirituality	English	3.5 hours	79.99	4.6861625	121	9.99	412	413	Cindy Little	1	121	4.6706347	https://www.udemy.com/course/investigating-the-paranormal/
